Phage,Host,Time,N,OD600,sd,se,ci
øEnA02,CPO448,3.73777777777778,2,1.049,0.004242640687119289,0.0030000000000000027,0.03811861420852411
øEnA02,CPO448,3.98777777777778,2,1.0735000000000001,0.002121320343559566,0.0014999999999999458,0.01905930710426135
øEnA02,CPO448,4.23777777777778,2,1.097,0.0014142135623730963,0.0010000000000000009,0.012706204736174703
øEnA02,CPO448,4.48777777777778,2,1.1175000000000002,7.071067811866267e-4,5.00000000000056e-4,0.006353102368088057
øEnA02,CPO448,4.73777777777778,2,1.136,0.0028284271247461927,0.0020000000000000018,0.025412409472349407
øEnA02,CPO448,4.98777777777778,2,1.15,0.005656854249492385,0.0040000000000000036,0.05082481894469881
øEnA02,CPO448,5.23777777777778,2,1.1675,0.004949747468305916,0.0035000000000000586,0.04447171657661217
øEnA02,CPO448,5.48777777777778,2,1.1800000000000002,0.007071067811865481,0.0050000000000000044,0.06353102368087352
øEnA02,CPO448,5.73777777777778,2,1.1935,0.0106066017177983,0.007500000000000061,0.09529653552131097
øEnA02,CPO448,5.98777777777778,2,1.2045,0.013435028842544336,0.009499999999999953,0.12070894499365897
øEnA02,CPO448,6.23777777777778,2,1.2145000000000001,0.01484924240491759,0.010500000000000063,0.13341514972983506
øEnA02,CPO448,6.48777777777778,2,1.2235,0.016263455967290685,0.011500000000000064,0.14612135446600977
øEnA02,CPO448,6.73777777777778,2,1.2315,0.01909188309203688,0.013500000000000066,0.17153376393835917
øEnA02,CPO448,6.98777777777778,2,1.2395,0.02050609665440982,0.014499999999999957,0.1842399686745325
øEnA02,CPO448,7.23777777777778,2,1.2465,0.02333452377915601,0.01649999999999996,0.2096523781468819
øEnA02,CPO448,7.48777777777778,2,1.2525,0.024748737341529107,0.01749999999999996,0.2223585828830566
øEnA02,CPO448,7.73777777777778,2,1.2585000000000002,0.0275771644662753,0.019499999999999962,0.247770992355406
øEnA02,CPO448,7.98777777777778,2,1.2650000000000001,0.029698484809835023,0.02100000000000002,0.2668302994596688
øEnA02,CPO448,8.23777777777778,2,1.27,0.03252691193458106,0.022999999999999906,0.2922427089320167
øEnA02,CPO448,8.48777777777778,2,1.2755,0.034648232278140935,0.024500000000000074,0.3113020160362809
øEnA02,CPO448,8.73777777777778,2,1.2805,0.03606244584051403,0.025500000000000075,0.3240082207724556
øEnA02,CPO448,8.98777777777778,2,1.286,0.039597979746446695,0.02800000000000002,0.35577373261289164
øEnA02,CPO448,9.23777777777778,2,1.29,0.04242640687119289,0.030000000000000023,0.38118614208524104
øEnA02,CPO448,9.48777777777778,2,1.2934999999999999,0.044547727214752454,0.03149999999999997,0.40024544918950244
øEnA02,CPO448,9.73777777777778,2,1.2985,0.0473761543394988,0.03350000000000008,0.4256578586618532
øEnA02,CPO448,9.98777777777778,2,1.302,0.049497474683058366,0.035000000000000024,0.44471716576611453
