phage,combination,time,N,OD600,sd,se,ci
APO57,EnC07_R2,15.7377777777778,6,1.6398333333333333,0.02981554404445218,0.012172144885397616,0.03128949454313657
APO57,EnC07_R2,15.9877777777778,6,1.643,0.030456526394190147,0.01243382483389565,0.03196216426549586
APO57,EnC07_R2,16.2377777777778,6,1.6465,0.03078148794324275,0.012566489830762865,0.032303190496667473
APO57,EnC07_R2,16.4877777777778,6,1.6493333333333333,0.030780946487505324,0.012566268782383698,0.03230262227371919
APO57,EnC07_R2,16.7377777777778,6,1.6524999999999999,0.03124579971772207,0.01275604431893629,0.03279045582082942
APO57,EnC07_R2,16.9877777777778,6,1.6555,0.03143723906452345,0.012834199104995472,0.032991359094241196
APO57,EnC07_R2,17.2377777777778,6,1.6581666666666668,0.03160643394416182,0.012903272625363076,0.03316891823102161
APO57,EnC07_R2,17.4877777777778,6,1.661,0.03159113799786263,0.012897028081435405,0.03315286611982931
APO57,EnC07_R2,17.7377777777778,6,1.6636666666666666,0.03194787421201399,0.013042665031009247,0.03352723781700131
APO57,EnC07_R2,17.9877777777778,6,1.666,0.03223662513353406,0.01316054710108968,0.033830263325097275
APO57,EnC07_R2,18.2377777777778,6,1.6684999999999999,0.032611347718240674,0.013313526955694356,0.03422351056056234
APO57,EnC07_R2,18.4877777777778,6,1.671,0.03289376840679706,0.013428824718989128,0.03451989289657738
APO57,EnC07_R2,18.7377777777778,6,1.6733333333333333,0.032855238040024416,0.01341309476262325,0.0344794577564679
APO57,EnC07_R2,18.9877777777778,6,1.6751666666666667,0.03299343369015518,0.013469512900538676,0.034624485196993716
APO57,EnC07_R2,19.2377777777778,6,1.6778333333333333,0.033379135199502516,0.013626974882359059,0.03502925410726449
APO57,EnC07_R2,19.4877777777778,6,1.6801666666666666,0.033468891028336584,0.013663617546039734,0.035123447072931364
APO57,EnC07_R2,19.7377777777778,6,1.6818333333333333,0.033641739947075665,0.01373418282162349,0.03530484088857364
APO57,EnC07_R2,19.9877777777778,6,1.6838333333333333,0.033504726034794985,0.013678247126165138,0.03516105360586472
APO57,EnC07_R2,20.2377777777778,6,1.6858333333333333,0.03419600366514578,0.013960460036991761,0.03588650498821768
APO57,EnC07_R2,20.4877777777778,6,1.6875,0.034145277857999604,0.013939751312941933,0.035833271518335985
APO57,EnC07_R2,20.7377777777778,6,1.6898333333333333,0.0343826506637675,0.014036658355099289,0.03608237900065093
APO57,EnC07_R2,20.9877777777778,6,1.6913333333333334,0.034823363804587684,0.014216578741424088,0.036544879077598125
APO57,EnC07_R2,21.2377777777778,6,1.6931666666666667,0.03480469317012677,0.014208956486823545,0.036525285448375376
APO57,EnC07_R2,21.4877777777778,6,1.6948333333333334,0.034758691958511154,0.014190176570822203,0.036477010137427546
APO57,EnC07_R2,21.7377777777778,6,1.6968333333333334,0.035930024584832486,0.014668371113082434,0.03770624834166212
APO57,EnC07_R2,21.9877777777778,6,1.698,0.03537230555109463,0.014440683270999795,0.03712095811060926
APO57,EnC07_R2,22.2377777777778,6,1.6996666666666667,0.035398681708033515,0.014451451291979103,0.03714863818974442
APO57,EnC07_R2,22.4877777777778,6,1.7013333333333334,0.03581991997013211,0.014623421092358823,0.03759070063487853
APO57,EnC07_R2,22.7377777777778,6,1.7028333333333334,0.03615199395146369,0.01475898972754497,0.03793919090597005
